0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,2,3,3,3,4,5,5,4,3,3,3,2,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,2,2,3,3,3,3,4,4,7,7,4,4,3,3,3,3,2,2,1,1,1,1,1,1,1
1,1,1,1,1,2,2,2,3,3,3,3,4,4,4,7,7,4,4,4,3,3,3,3,2,2,2,1,1,1,1,1
1,1,1,1,2,2,2,3,3,3,3,3,4,4,5,7,7,5,4,4,3,3,3,3,3,2,2,2,1,1,1,1
1,1,1,2,2,2,3,3,3,3,3,3,4,5,6,8,8,6,5,4,3,3,3,3,3,3,2,2,2,1,1,1
1,2,2,2,2,3,3,3,3,3,3,4,5,5,12,36,36,12,5,5,4,3,3,3,3,3,3,2,2,2,2,1
2,2,2,2,2,3,3,3,3,3,3,5,6,7,9,100,100,9,7,6,5,3,3,3,3,3,3,2,2,2,2,2
2,2,2,2,3,3,3,3,3,3,4,6,11,13,57,100,100,57,13,11,6,4,3,3,3,3,3,3,2,2,2,2
2,2,2,2,3,3,3,3,3,4,5,6,9,100,100,100,100,100,100,9,6,5,4,3,3,3,3,3,2,2,2,2
2,2,2,3,3,3,3,3,3,4,5,6,16,100,100,100,100,100,100,16,6,5,4,3,3,3,3,3,3,2,2,2
2,2,2,3,3,3,3,3,4,4,5,6,9,100,100,100,100,100,100,9,6,5,4,4,3,3,3,3,3,2,2,2
2,2,2,3,3,3,3,4,4,5,5,7,8,14,100,100,100,100,14,8,7,5,5,4,4,3,3,3,3,2,2,2
2,2,2,3,3,3,4,4,4,5,6,8,11,39,37,100,100,37,39,11,8,6,5,4,4,4,3,3,3,2,2,2
2,2,3,3,3,4,4,4,5,7,8,100,100,100,100,100,100,100,100,100,100,8,7,5,4,4,4,3,3,3,2,2
2,2,3,3,3,4,4,5,6,60,44,100,100,100,100,100,100,100,100,100,100,44,60,6,5,4,4,3,3,3,2,2
2,2,3,3,4,4,4,5,7,12,100,100,100,100,100,100,100,100,100,100,100,100,12,7,5,4,4,4,3,3,2,2
2,2,3,3,4,5,5,6,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,8,6,5,5,4,3,3,2,2
2,2,2,3,5,6,7,13,13,100,100,100,100,100,100,100,100,100,100,100,100,100,100,13,13,7,6,5,3,2,2,2
2,2,2,3,8,13,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,13,8,3,2,2,2
2,2,2,3,5,7,11,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,11,7,5,3,2,2,2
2,2,2,3,4,5,6,11,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,11,6,5,4,3,2,2,2
2,2,2,2,3,4,5,5,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7,5,5,4,3,2,2,2,2
2,2,2,2,3,4,4,5,6,9,29,100,100,100,100,100,100,100,100,100,100,29,9,6,5,4,4,3,2,2,2,2
2,2,2,2,2,3,4,4,6,10,100,20,100,100,100,100,100,100,100,100,20,100,10,6,4,4,3,2,2,2,2,2
2,2,2,2,2,3,3,4,4,7,6,7,41,12,9,6,6,9,12,41,7,6,7,4,4,3,3,2,2,2,2,2
2,2,2,2,2,2,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,2,2,2,2,2,2
2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
